sentence	sentence_id	locale	reason
Ipni ikki yoki uch ko’rinishga sig’dirsa bo’lardi.	d7600ce5f03b20bf727036005846a02b7c99486ca30057e131e48594fbbcada8	uz	grammar-or-spelling
Osmon baravar plan berdilar.	be06551d2384819f071090883ad8b1cda4af4738bcabc61ede695887e686436d	uz	grammar-or-spelling
Bu yerda, muzokarlar auksioni deyishyapti.	d438c53f12bbde850bb8695c0854cf87d6a1053e9065bc564823802f153082fa	uz	grammar-or-spelling
Mening yurtimda karvon huraveradi, it o‘taveradi.	cc1aae4437fd1e5569890b93d34f0e853e78740bea037b61a4dd364c3e6a3613	uz	grammar-or-spelling
Tomog’ingiz shishgan bo’lsa shu yaxshi.	cb0a14e568e0ba1de829e0af62bd73f3eb03c5ecf1426ae306758ff811da70d3	uz	grammar-or-spelling
O‘sha zarar butun xalqda teng taqsimlanadi.	d84ae7b8f4f60ec61f8542ea1ba525952ff8f7e51dbaeba929ff423a5e9b0886	uz	grammar-or-spelling
Birov — firqa so‘ziga tushunolmay aytmadi.	af8534fc97a7ef2206176c844bab3a8ac3409d5870f5cd3eb6e9125b295d59c4	uz	grammar-or-spelling
U rashk tufayli do‘stini o‘ldirishidir.	d84537069543520d726a7612837e11687ca0bd1b26b7c5c3989028f0d64be01f	uz	grammar-or-spelling
Orada Leganes darvozasiga dubl qayd etdi, bugun esa, Atletikoga qarshi o‘yin bor.	d2c38011cae3204ae7b3e4ccb7563e3d9abd7a91c071a34c8bace083b82fa8ab	uz	grammar-or-spelling
O‘sha voqealarni milliy uyat hodisasi sifatida o‘ylab ko‘rsak ham bo‘ladi.	dc776b9b9a190c720d81eed98dc3f0cc0142d229625bd6cd8eb719cf3a35cb6b	uz	grammar-or-spelling
Menimcha, sheriklarim Chelsini jarima maydoniga qamab tashlashgandir, deb xursand bo‘la boshladim.	d409286bb8e23487aee2ed152accab9d97a5dc1916b729d69e863b744f5c2d1c	uz	grammar-or-spelling
O‘sha yuqori reytingli universitetlardan PhD olgan hamkasblarimiz uchun xursandman.	db7e0340bf74dd12b84df5506bb14e098759d60d7a85bbc065a6b865c3092248	uz	Mikrafon  ovoz yozmayapti
O‘zbekistonda o‘zbek tili borgina emas.	d1cde0f958c5de3e11df2c9fd80d5088546fa185c478e46605c15379d2bb39c4	uz	grammar-or-spelling
Dard esa mana shu dengiz qa’ridagi duru javohir.	ce359c3884e201d30b9109ac5df010665af0e5124f15841c93f5904b941f58be	uz	grammar-or-spelling
Bu ogohlantirish goryachiy nabor	c598bd5dc731877075f2f4607495b60c96e21ec3458cb470771530f7a632ee18	uz	different-language
Qanday qilsa hammasini yaxlit bir asarga aylantirsa edi.	dcec272e4ab5a0fea5d09161009c8adf8cbcb7c77f86eb6302584be481722fa5	uz	grammar-or-spelling
Biz konservatsiya jarayonini birinchi navbatda har bir sahifani tozalashdan boshladik.	dcf70c0d758c09231cee010d71b93da65de4fc009e6378c2d351e3ffacc71e32	uz	different-language
Bir tomondan, agar sening yolg‘oning sinfdoshingni jazodan qutqarishi mumkin	df067ce6347ac5fe7970c3a166c00632c880ca29b871c9650c3a7f17a6217cb2	uz	grammar-or-spelling
Bizning oilalarda o‘g‘il farzandga ko‘proq xarajat qilishadimi yoki qiz farzandgami?	e531dac1471af9536e0c57879a8fdd9620d79ab554ba1dba1544e4c055f61b2b	uz	difficult-pronounce
Bizning oilalarda o‘g‘il farzandga ko‘proq xarajat qilishadimi yoki qiz farzandgami?	e531dac1471af9536e0c57879a8fdd9620d79ab554ba1dba1544e4c055f61b2b	uz	???? ??????? ????? ????? ???? ??????? ????????? ??????? ?????
Uning kundalik hayotga yorqin nazar bilan qaradim	dfe382e65b6488fe9d9136765c18e9cf9feb92d12bfcf0c981723894e56a0dbb	uz	grammar-or-spelling
aydo bo‘lgan rashk jaholatga undashi	e37ebe2bec6c0127d7e2ac387194ddb96bc0df1e6b98d0cd7726ec3105fc56ee	uz	grammar-or-spelling
Uning poydevori, degan hikmat bor.	ea8dc8c5dc78d56fac5f89dd52bb47b3d65469bba179900532260dd80536fbf5	uz	grammar-or-spelling
Nima mahbubaga qarata aytaman.	dbd77ee6957dcf0bf802a550c3bb2a4397b31d8a2275539fc8ab840db7a85d06	uz	grammar-or-spelling
Badjo urolmagandi, Zidan qizil kartochka olmagandi, degan gaplar qo‘shimcha qilinmasdi.	eb2ebf00b9e30df56f4f35842e8e77f3ab909eacfea1ce522732be21a2901188	uz	grammar-or-spelling
Asoratdagi qavmdoshlariga qarata aytgan edi.	fa9285bb4ffae127a8551344956d372e77373ad23048e423ea64edc31e12f0af	uz	grammar-or-spelling
Ertadan keyin suhbatlashmoq kelishimni so’radi.	efef81eacc538bb8b05aeaf59ad5fc4f4a87f94d9015f508801ff0732de5397c	uz	grammar-or-spelling
Lekin qimmatlash darajasi talabni elastikligiga bog‘liq.	11ca4c55300655a80c50f3780178cad6acd47bdf5e7de6efe115a5b45e2877bb	uz	grammar-or-spelling
Ish-harakat birin-ketin emas.	12184b1841eb591de3a05b7edef0fb49b6a2a6a57ee2a3e30ef37dfad987e6d3	uz	grammar-or-spelling
Dalilar yoki g‘oyalar orqali kimningdir fikrni o‘zgartirish juda qiyin.	0ed26c67197498c7d0c901803f33fd6103f87f1a04a11310c4287d183b21be7d	uz	grammar-or-spelling
Hali biron marta varag‘i ochilmaganularni.	112609517d6d204309f689e44f10c2e2ef15403d13aac39f2167dcd71f277c83	uz	grammar-or-spelling
Boshqa bir koʻngli esa uchratsang nima qilibdi.	1e59847fd30ebb1c022a37b8efff6682c33798f6b220b0144b2760eb0c19e0b1	uz	grammar-or-spelling
Badiiy haqiqatning qudrati va shakkokligi shunda.	25da151878c973e14081aa7d7bfaea32e030df817d83a11c7947c866a56c50a3	uz	grammar-or-spelling
Ularning ham asosiy qismi rusiyszabonlar.	2a180670e49e0c9cf6c44dfbaf9f42adb4a286518f8fa836028a63168a137546	uz	grammar-or-spelling
Oddiy telefonga mubtalolik haqida o‘ylab ko‘ring.	360699b5e8cbb3ea098c7bc4660aed6ee45f59f1dabaf07a61e39dda2e47e094	uz	difficult-pronounce
Masalan, o‘z loyihasi, asosli e’tirozlari bor.	188c4778dec725be4e33457c9866d10f0a3b2848e195e6a6b901b0e3369d8af5	uz	"Nega ovozimni yozmayapti qanaqa ishlatadi o'zi buni"
Yo senga dinda birodar yoki yaralishda seningdek inson.	2bda2e261c372e5188c1680ba3dca8e75845f4d654b08637f8f5b9ea8a66470a	uz	grammar-or-spelling
Suv bo‘yidagi o‘zimizning skameykaga yaqin keldim.	3a53044f4317e4aeb3eac556bcfc36513e7ecb3bb3ea0835543876681d3d99d9	uz	different-language
U tantanavor mitinglar o‘tkaziladi.	26860d160d39af348d55a593a1fa2ec733e0e36678276bb46a3135fd80429be7	uz	grammar-or-spelling
Shu baxtiga muyassar bo’ldim.	433ca22ddf6d49f9347ad0a07445db45106e394cfbd4cb3114635509c3acc812	uz	grammar-or-spelling
Qdim yunon tarixiga qiziqadi.	4fd64d558327b57fd5e414c271fee95f2d974295978b1c3cfd8a706fc8cf6d70	uz	grammar-or-spelling
Mehmonlar besh kishi edi onasi, xolasi, yana bir ayol, buvisi va bobosi.	5d4493e7aed0faeec741f416d2445ee21640f03a6451401a259934f552711eb9	uz	grammar-or-spelling
Maktabda seni hurmatq ilishlari uchun bajarish kerak bo‘lgan	9440c5f803a2ce74cb00bb40a896e51e69fd41aae9734c4371a88233979be941	uz	grammar-or-spelling
Ular bilan birga burda nonga zorlar ham bor.	95c33d18e9da757bed2ea6a76b7c5ca93034b5b8db9acd30839f8209127b3c76	uz	grammar-or-spelling
Biz sarv bo’yli sevgilisidan uzoqdamiz.	8d74f4e2eeb31f4f07860400e8b54b2bd1487b8d6e719bc9d62fc5089e893616	uz	grammar-or-spelling
Hatto Aminovga o‘g‘lining o‘limi yomoon botadi.	ada646f4837d1d88852ffa4991ac76f893d0c94771949cf3e1c32ce2399e0303	uz	grammar-or-spelling
Qiziq xulosalar qilish uchun kitob desam bo‘ladi.	98f11407f684eb14b80c970bb0c019a88857a4f9b26e283e6b38714a8473c9c9	uz	grammar-or-spelling
Sug‘d shaharlari bu davrda hunarmandchilik markaziga aylanadi.	a6278b173bb943bb4b7bf5b95a3fcae32b0f0617c36805ee2930cd25af82894d	uz	grammar-or-spelling
UndAgi xotiralar bilan bir qatorda edi.	b34b7d7f33c1b09851681abde988708d01c059ffbf6e940ebdefbd73f5000ae5	uz	grammar-or-spelling
Muhammad buvaning otlarni to‘qayga tashlaydi.	ac67103ca9c14f794ff674063925b0d3290d178cc3e44ba8858714ca8c44a282	uz	grammar-or-spelling
Idoralarari hujjat alamshish tizimi vaqtincha ishlamay turibdi.	b67b874f8a2be788cc7da14ac250e70c3b69ed04eb45553d179d93b5b5845618	uz	grammar-or-spelling
U nima buyruq berilsa edi.	a4a20c9f3da5b0eabe9410f44ea403cdd0f65e09e684006678154f69e77125f8	uz	grammar-or-spelling
Katta-katta qabilalar yoki qabilalar ittifoqi markaziy hokimiyatga bo‘ysunmaslikka intilganlar.	7bd29e756966c0c67242c545228ff03e6fd8ee6a8e6725679ae3ae5533e77606	uz	grammar-or-spelling
Paxta yakkaziroatchiligining qaror topgan.	b29bbe8bcd6ce37152cc2cd876153d76558776608c103cc128d9c109ae5ecfaa	uz	grammar-or-spelling
Urvog’ini ham, uvoli tutmasin.	a4d64df138e890e06def8466d72330323effb5752e64f311b34b0347e47b606b	uz	difficult-pronounce
"Lekin oraga ko'p yillar tarbiyachi bo'lib ishlamagan."	b82cca6bcba368317dedb59451e23193adca4cb0d287a114eefd43ba7e663c81	uz	grammar-or-spelling
Bir nechta amaldagi prezident saylovlarni yutkazgan.	eb7f7ea467828cac75b9c65ec01e80ba8e2866b2318a99d011bbec7a98b1d752	uz	grammar-or-spelling
Zero seni va dardlaringnida sendan-da yaxshi biluvchi Allohdir!	dd0a9c13fae20a3abaf525b200cc42d5bd464b1f2104be2889c8c91a496c40be	uz	grammar-or-spelling
Shu yerga yaqin joydan boshpana toppish kerak.	e234a08ad432d2bc05591a0ed1a3c12cc0539c96c6fb731eaf5dbf2504da7de5	uz	grammar-or-spelling
Istanbulda nomi bilan mashhur edi.	1c080d7d6c8e03d87f39dd87b4e8691a6edeb4bd083f53d750f17e9f0c815750	uz	grammar-or-spelling
Ko‘ringanidek qiyin ish emas buni boshqarish.	198a1e0193b87178a5783439b7ba96caa21c5f12f582db6ea652c6dbd3de1277	uz	grammar-or-spelling
Bu narsaning bizga tug’ma bo’lgan	0ee2cc9dc7971c9e362f6e957daaf165a7848d9930f7183f099a408e7afebc27	uz	grammar-or-spelling
Biroq, sen boshqa mahallada ham xuddi shunday ish boʻlgan.	065aa73b1ec97607b8d88b1f0d2fa3c108dbe381ad6db62c5d77e161db52be1d	uz	grammar-or-spelling
Ertalabdan beri Sizning ishingizni o’qiyapman	0e84252981259d453c67ac21b6dbbdff4021e97ae5657c269cb7ee52ecd6ee53	uz	grammar-or-spelling
Ancha-muncha muhim narsalar unut.	14630701bd79d20a593254cfb3bcd046a11850ed12e9995789924ac9acb4183b	uz	grammar-or-spelling
Kitob do‘konlarining nechog‘li gavjum.	09e831c20f8408849918523368d836a99ed438d738cb613ffb535b65d584af03	uz	grammar-or-spelling
Menimcha, dasturlarimiz eng qiziqarlisi shu bo‘ldi.	351e30923a5219cab1b3b9d82be33df0c8d85431c9e3efabbe47f139696e3a58	uz	grammar-or-spelling
Bolasi hali-hamon toboqlar ostidan... non qidirdi!	2a41d5950c8e2d6e8e4ff1d1cca3a00876f28bf9beda2f71271ffbf558f2b952	uz	grammar-or-spelling
Milliy nigilizm esa undan ham xatarli.	2d72dbbe984f8fcd65201feb3215b28389c94f8c5a5f6592de00a9a90284c3d5	uz	grammar-or-spelling
Bu o’tkazilgan turkchada ijod qiladigan shoirlarga edi.	2b33917e93ccd7a52a580215405e579d8ef1b461e112ef564f0f5c1463d4d323	uz	grammar-or-spelling
Undan ko‘ra, o‘sha ishni o‘zing qilsang, qizing qiladi	313e6aef6f93b7e0c13368bbe3c6d51eb4c8c172473ae120ed3a05f75c74b97e	uz	grammar-or-spelling
Ularni yerni tepib yurishsin.	259646c47b8aa85b4d463df791695a356357f22998bf053c2fd341ee9334659f	uz	grammar-or-spelling
Kechagi shoiring bugun uchun o‘tmish.	324c06191e383043fd8411cfcccdd9358d4976ded58973ad06516b4fcbefd121	uz	grammar-or-spelling
Dovon olidagi manzilda to’xtadik.	3b6e9a91029d42284a3ab1302b8d83c468f7107b482b24a9d229ee35e4fa201b	uz	grammar-or-spelling
Demagoglarga katta yo‘l ochib beradi	57764f971f49d95eedfc9800afc7531814acdda2757281ae89c4c1ae4957d2f7	uz	grammar-or-spelling
Uni amalda ko‘rsatinglar azizkar.	4fbc0b6b525300083120a6e575e54194ff84ba5e7403a2f6b943a3b785d1571d	uz	grammar-or-spelling
Gyotening tasviriy san’atga oshno edi.	6654dd1e53623ba6cbb82f77cb6bc752f9fb2ae8610be66b4e37f8a3fc54bc5a	uz	grammar-or-spelling
• Jur’atli va dalil bo‘l, qiyin bo‘lsa ham doimo maqsadlarigga erish.	6479b5e19a51fec8ed54806ca941bd85cf88d9ea6577f332a8d55737fad51ede	uz	grammar-or-spelling
Umid qilmanki, sal bo‘lsa ham masala oydinlashdi.	56249078d2b9a08515c72e38a799b68e38c7947a63585d483d7f291a8b00c41e	uz	grammar-or-spelling
"o'ziz yozing arizangizni desam o'zi tushunishni istamyapti."	5a776f392e88629e6e64af8e3eab48fe0dbf15b0989c5830cb3a07d5802b4aec	uz	grammar-or-spelling
Davlat xizmatchilariga xorijda bank hisobraqamlarini ochish va boshqa mol-mulkka ega bo‘lish taqiqlanadi.	602e56ae05cc8169ac9c5b4a11b65d8521b7534ab1434f3980cb7697611ece7a	uz	grammar-or-spelling
Uning ruhi bilan uiing rahbarlari bor.	6f3dfaf247e7c6c6b6449bfa7e7a4b023f77c040f3f6aa2807d0507cc544e2d1	uz	grammar-or-spelling
Oʻzbekistonda birinchi vaksina davlat roʻyhatidan oʻtkazilganligi haqida haqida xabarlar tarqadi.	88da9dcdfa649219e20e5b6431065cfd433a84df0b8105866897847b4810a283	uz	grammar-or-spelling
Oliygohlar offlayn oʻqishni boshlashalari haqidagi xabardan keyin talab yana ham oshib ketdi.	b51817a23c6f4b4c10d43c9f89c489db40309cd193a87f5131fc30f4a7c87b61	uz	grammar-or-spelling
Chunki bu fikr mutlaq xato ekanligini hamma yaxshi biladi.	b6b5a89ca2a019741b6a2d0c8c5d4d0bb884415b2434537ebdb444113ccff7a3	uz	grammar-or-spelling
Iljayadi.	a8e9a2cf2a5f147da41a3b8a19277e7cbfc60371ab5b39bf8b8faab58d690bee	uz	grammar-or-spelling
Bracha turdagi xizmatlar bepul amalga oshiriladi.	c2a9e6e72b79dd8ac0b4d4e8b1c668ff1e9306ceeb593826d16a7f4d8495c2a5	uz	grammar-or-spelling
Oliygohlar offlayn oʻqishni boshlashalari haqidagi xabardan keyin talab yana ham oshib ketdi.	b51817a23c6f4b4c10d43c9f89c489db40309cd193a87f5131fc30f4a7c87b61	uz	grammar-or-spelling
Xodimlarimni doim barchaga namuna kilib kursatishadi.	ccda75d0e63b19035f87548e4f9ccfc14bcf0f5d21658bcdda6a8e17679e013f	uz	grammar-or-spelling
Davlat bunchalik valytuni nazorat qilishi, albatta o‘sha prinsiplarga teskari.	c8f1fc7f8b7f25c723a90bc3bffa3ed9d9252e1dedb0d8ec5f244e84b5f44352	uz	grammar-or-spelling
Jahonda bizdan ko‘ra yig‘loqiroq.	c8680f98ce9272680c1a63481d78cbd19cfdb831dac3b9a240452aa3264baf92	uz	grammar-or-spelling
Yana qaeridan shunday ezgu narsalarni topasiz!	d27e08b2847666d15c7dab95c816d6fb5d92f6f1779c7803b55a85a671868df6	uz	grammar-or-spelling
Dangasa boʻmasligim uchun qanaqa kitob oʻqisam boʻladi?	cac90f6785dfe826133e71bcdeb30076bbf75a6873baa5a5e069eb353b13eb9c	uz	grammar-or-spelling
Yo‘ldan o‘tkazib chollardan biri Xizr bo‘ladi.	d245266d9a36190f5419225e840f0f4e2d5f82c495a9d4782fde727866872625	uz	grammar-or-spelling
Lekin bu narsalarga juda ko’p.	d2410a817d44decdeb60107b43f943f8a74b048af98984c0a9cd63e2429738a6	uz	grammar-or-spelling
Keyinchalik Usmon akaning suhbatida o‘qidim	a9c03b6b48252a60fbbb058a138e83a7190947d9df3ad9234991be0454dce46f	uz	grammar-or-spelling
Shu maqsadda ijodkor o’zidagi bor imkoniyat.	d4035baed7d2563c7f32578ac7242879b72c5a018fe528ca9e9d242badfc14ce	uz	grammar-or-spelling
boshini quyiroq egdi.	cea143c2b2b57038e1cf74dd2de88f9f2713bfb7209f6ba332dfea62cc5fd8b0	uz	grammar-or-spelling
Manimcha, Meksika va tabiiyki o‘zbek futbol muxlislari bu vaziyatni yaxshi eslab qolganlar.	d3c78f98ae2e70e25b5a7fe12e0f8e4117a7d91df0a831badd0b98087069222b	uz	grammar-or-spelling
Garchi yaxshi she’r yoki hikoya yozish kerak.	d2ece30868d1ed8e6d112fe88919c9d13a9e6346d38ea6ad41133e7d3c5cea99	uz	grammar-or-spelling
Ota yoki ona nigohidagi o‘z vaqtida uqilmagan.	cde2a4f06d79c395da8e0f2ed202ff2afb61497831026596cbe2c6e549f5f1ec	uz	grammar-or-spelling
Uning real narsa bilan badiiy yaxlitlanishi kerak	dac8f53fe5d8df814473397783623eb99dc8aff74635afdf86a767fc6811ed4f	uz	grammar-or-spelling
Yana qaeridan shunday ezgu narsalarni topasiz!	d27e08b2847666d15c7dab95c816d6fb5d92f6f1779c7803b55a85a671868df6	uz	grammar-or-spelling
Barcha orzular amalga oshadi, asosiysi ularni ruyobga chiqarishga jasorat kerak.	dd8c406de9c05e309a58b550d8bf35f8d1127067fbd3ea77f2dee9a03c400d2a	uz	grammar-or-spelling
O‘zbekistonda o‘zbek tili borgina emas.	d1cde0f958c5de3e11df2c9fd80d5088546fa185c478e46605c15379d2bb39c4	uz	grammar-or-spelling
Qayoqqa ketdidz, oyi!	e35e5e963c5d5a4ff920ca8bcd608bf67ee7710e6b5165e37f085a82ddef2b4d	uz	grammar-or-spelling
Jahonda bizdan ko‘ra yig‘loqiroq.	c8680f98ce9272680c1a63481d78cbd19cfdb831dac3b9a240452aa3264baf92	uz	grammar-or-spelling
Uning kundalik hayotga yorqin nazar bilan qaradim	dfe382e65b6488fe9d9136765c18e9cf9feb92d12bfcf0c981723894e56a0dbb	uz	grammar-or-spelling
Mustagiligimiz va shu tariqa erkinligimiz bundan ham mustahkam bo‘lsin!	f458f074443bc8f79e6679995079905a5e07c79d0c229fbfb4382911d080f147	uz	grammar-or-spelling
Kayfiyat bu sening xaqiqatingga bogʻliq.	db4e4f4b19dff151496580aa5b4d3e6522e2a9f7c7eacf35634e9ffe11a4c3e6	uz	grammar-or-spelling
Ana o’shanda shoirning ter to’kib qilgan butun mehnati	003106cbb093b3cb5ae96c2c290991af34570189d9ae507fcd31e6fd21304fc7	uz	grammar-or-spelling
— Non dema-ya, qirilib ketgur! — deya, bolasi	05eb0f4deae82e03c8bc9cd42dce16e63b3ae3eda5ace25c67f6d2c470d9db90	uz	grammar-or-spelling
Agar yolg‘on gapirsang seniyam hamma yomon ko‘rib qoladi.	04acbac8324ac92f7ce1529b04c96817ca53891fea763a5a013c81e67c310522	uz	grammar-or-spelling
